# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = peng_model
# start_datetime = 2025-05-15 10:16:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 5000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/admin/AppData/Local/Temp/Rtmp2PZJw8/standata-69c58b2fbe.json
# init = 2 (Default)
# random
#   seed = 619260806
# output
#   file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/sampling-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/peng-profile-1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=peng_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B.1.1,B.2.1,B.3.1,B.1.2,B.2.2,B.3.2,a,sigma
-1251.93,1,0.000781311,3,7,0,1342.07,0.284794,1.245,-0.29207,0.701353,-1.84365,0.27401,0.296266,0.24012
-1228.62,1,0.000806405,3,7,0,1257.17,0.28371,1.24462,-0.294107,0.699569,-1.8389,0.272966,0.297522,0.241529
-1222.13,1,0.000843355,3,7,0,1231.39,0.283299,1.24511,-0.29387,0.6997,-1.83855,0.27246,0.298702,0.242063
-1214.06,0.999933,0.000890703,2,3,0,1224.4,0.283161,1.2436,-0.293335,0.699261,-1.83772,0.273597,0.298089,0.242489
-1201.67,1,0.000947388,3,7,0,1217.4,0.286089,1.24384,-0.293325,0.699627,-1.83535,0.272694,0.295962,0.243351
-1177.79,1,0.0010133,3,7,0,1204.11,0.282432,1.24064,-0.294471,0.700043,-1.83352,0.272414,0.295664,0.244958
-1063.4,0.999795,0.00108798,3,7,0,1181.62,0.277442,1.2338,-0.285315,0.695602,-1.81628,0.269907,0.291036,0.252565
-976.872,0.999894,0.00117062,3,7,0,1067.99,0.278639,1.23346,-0.278425,0.689573,-1.80991,0.260182,0.299193,0.259874
-950.356,0.996108,0.00126223,2,3,0,980.217,0.277539,1.23126,-0.27582,0.687346,-1.80308,0.257483,0.301788,0.261776
-850.82,0.999195,0.00134724,5,31,0,953.094,0.269123,1.21522,-0.275761,0.679862,-1.79376,0.258089,0.300214,0.27035
-756.288,0.999253,0.00145229,3,7,0,856.292,0.274415,1.20832,-0.260033,0.67714,-1.77054,0.261865,0.29733,0.278983
-663.624,1,0.00156609,3,7,0,759.006,0.271129,1.20296,-0.264732,0.666452,-1.76181,0.265313,0.297393,0.290927
-482.332,0.998092,0.00169222,3,7,0,670.603,0.268007,1.15281,-0.236148,0.658064,-1.74598,0.276523,0.294994,0.316953
-318.585,1,0.00181768,4,15,0,485.035,0.277382,1.13072,-0.22311,0.627419,-1.69765,0.25514,0.295762,0.350937
-305.005,0.999666,0.00196201,3,7,0,323.997,0.274203,1.13823,-0.220345,0.625415,-1.69557,0.253962,0.298283,0.356035
-281.665,1,0.00211408,3,7,0,307.321,0.277634,1.13903,-0.219922,0.611201,-1.68583,0.251543,0.295833,0.362342
-207.539,0.999909,0.00227799,4,15,0,286.871,0.281387,1.11306,-0.210872,0.584737,-1.65127,0.220585,0.300283,0.383918
-78.5349,0.999467,0.00245145,4,15,0,210.454,0.287899,1.07695,-0.178524,0.527577,-1.5577,0.195125,0.302221,0.448436
-60.1155,1,0.00263204,4,15,0,81.3583,0.290263,1.06743,-0.164401,0.499736,-1.53671,0.193978,0.298722,0.458086
-39.617,0.999834,0.00282689,3,7,0,62.405,0.288014,1.03748,-0.156879,0.478733,-1.52747,0.21998,0.298449,0.475222
-5.95036,0.993792,0.00303121,4,15,0,43.5565,0.229915,0.989372,-0.137045,0.455082,-1.49227,0.209852,0.30531,0.5109
45.1531,0.999746,0.00319402,5,31,0,10.0228,0.232909,0.875565,-0.0157958,0.415343,-1.31939,0.14698,0.30308,0.56726
471.965,0.989826,0.00341632,6,63,0,-43.4622,0.0687858,-0.202081,0.314667,0.121171,-0.0103282,0.316678,0.288473,0.198725
518.213,0.999804,0.00355498,4,15,0,-471.048,0.135638,-0.174308,0.269474,0.203284,-0.042771,0.309547,0.285474,0.181558
567.878,0.642581,0.00379461,4,16,1,-516.271,0.160027,-0.0706419,0.242635,0.24727,-0.0472417,0.32195,0.280539,0.153083
604.422,0.99782,0.00159317,6,63,0,-564.786,0.14468,-0.0489308,0.242271,0.238943,-0.103187,0.252116,0.285692,0.126044
618.464,0.925791,0.00170007,5,31,0,-600.809,0.160321,-0.101674,0.253484,0.253236,-0.11272,0.323066,0.284413,0.113919
629.186,0.993831,0.00150588,5,31,0,-615.012,0.14853,-0.0584774,0.24477,0.237617,-0.0548398,0.292529,0.284624,0.107265
632.746,0.593594,0.00158901,5,31,0,-625.542,0.155834,-0.0723332,0.239575,0.247969,-0.0953549,0.283459,0.282478,0.103604
637.511,0.989492,0.000608502,7,127,0,-630.044,0.165781,-0.0633826,0.269311,0.260487,-0.059705,0.314924,0.282174,0.099356
643.03,0.998377,0.000638572,7,127,0,-633.458,0.171003,-0.00887093,0.262276,0.284943,-0.0443002,0.343065,0.274573,0.0871257
663.726,0.931688,0.000684439,8,319,0,-637.18,0.353708,0.173569,0.497603,0.476414,0.183358,0.57154,0.227129,0.0829187
662.065,0.970998,0.00062118,3,7,0,-661.671,0.354235,0.171891,0.497428,0.476414,0.182367,0.571124,0.231698,0.0829728
666.522,0.991486,0.000621598,7,127,0,-660.711,0.366907,0.203186,0.503992,0.464563,0.198837,0.569965,0.227624,0.0843339
669.917,0.956035,0.000653676,7,191,0,-663.409,0.401559,0.228464,0.54652,0.516844,0.257799,0.611799,0.21729,0.0811101
667.897,0.972387,0.000630195,6,127,0,-665.285,0.40124,0.227976,0.540211,0.517189,0.258709,0.602527,0.217332,0.0816078
671.774,0.999705,0.000632047,7,255,0,-664.87,0.465438,0.300586,0.609912,0.574783,0.336968,0.673627,0.202209,0.0775168
676.342,0.994664,0.000676411,7,159,0,-667.96,0.500687,0.3579,0.661753,0.620817,0.394822,0.728938,0.193522,0.0815352
677.91,0.993051,0.000714395,6,63,0,-672.605,0.494886,0.376507,0.666134,0.624413,0.413237,0.757212,0.190255,0.0826827
686.839,0.99356,0.000750858,8,319,0,-671.688,0.632483,0.512469,0.823811,0.757092,0.585917,0.918163,0.156927,0.0748357
686.795,0.959994,0.000789355,6,127,0,-683.743,0.650266,0.556362,0.843358,0.777714,0.564673,0.946776,0.153045,0.0719952
689.331,0.983121,0.000766758,6,127,0,-682.368,0.644154,0.541543,0.855234,0.78704,0.594325,0.953288,0.150258,0.0766847
687.492,0.998282,0.000785753,6,63,0,-685.414,0.638995,0.562672,0.865147,0.782892,0.577424,0.962297,0.150149,0.0754575
687.454,0.986242,0.000833231,6,63,0,-684.973,0.655654,0.576333,0.84763,0.785288,0.580013,0.947209,0.151365,0.0755848
687.595,0.972357,0.000858736,8,255,0,-682.128,0.670293,0.593092,0.884819,0.791345,0.616442,0.974852,0.146687,0.0715871
690.802,0.995706,0.000857015,8,383,0,-686.647,0.715207,0.654841,0.927463,0.869443,0.685741,1.04634,0.133098,0.0768961
694.526,0.916047,0.000901268,8,319,0,-687.051,0.805369,0.765218,1.05681,0.969918,0.813056,1.17415,0.10698,0.0717037
694.999,0.906773,0.000792202,6,127,0,-692.778,0.828884,0.770862,1.06345,0.963076,0.830518,1.17719,0.1042,0.0731278
695.204,0.942109,0.000682973,6,63,0,-693.427,0.809821,0.768108,1.05868,0.973333,0.828369,1.18134,0.104924,0.072852
694.478,0.993396,0.000637647,6,63,0,-692.95,0.819766,0.749651,1.06365,0.970893,0.81762,1.18518,0.104876,0.0734551
692.21,0.986463,0.00066679,6,63,0,-690.655,0.820663,0.754914,1.08027,0.957574,0.825045,1.18759,0.105714,0.0725092
690.081,0.973387,0.000686219,7,191,0,-685.687,0.830257,0.791312,1.07735,0.959048,0.846028,1.2148,0.102641,0.0777522
693.986,0.996231,0.000686,6,63,0,-686.865,0.84612,0.784433,1.07217,0.975668,0.854175,1.20015,0.101164,0.077344
693.408,0.935353,0.00072031,7,191,0,-691.393,0.847349,0.790759,1.0765,0.984815,0.864924,1.20416,0.100854,0.0697633
690.366,0.991659,0.000663005,8,383,0,-688.774,0.802724,0.726876,1.01142,0.93653,0.773407,1.1515,0.113836,0.0801199
688.88,0.996977,0.000688784,6,63,0,-686.218,0.786701,0.733238,1.0406,0.932185,0.766281,1.11589,0.113583,0.0800979
692.45,0.979944,0.000723208,5,63,0,-686.079,0.791799,0.732746,1.00669,0.929257,0.770154,1.13126,0.115291,0.0793616
694.583,0.90838,0.000731912,7,191,0,-690.157,0.780631,0.704305,1.00427,0.924395,0.777983,1.11995,0.11694,0.0735947
692.888,0.999185,0.000636987,6,127,0,-691.29,0.759999,0.710484,1.01024,0.925005,0.776923,1.13243,0.116412,0.0746667
694.656,0.923972,0.000671167,6,63,0,-688.959,0.775028,0.709994,1.01477,0.920105,0.780933,1.13137,0.116411,0.074696
694.632,0.999241,0.000604258,6,63,0,-693.421,0.776542,0.713732,1.0071,0.930697,0.765447,1.11736,0.116637,0.0747634
694.45,0.995692,0.000636271,6,63,0,-692.416,0.767762,0.714878,1.01505,0.920386,0.777691,1.12862,0.116259,0.0739153
695.833,0.999059,0.000664588,9,543,0,-692.158,0.921701,0.89205,1.18179,1.08006,0.954889,1.31485,0.0786211,0.072994
695.179,0.999111,0.00069849,8,447,0,-693.566,0.895481,0.848359,1.14634,1.05196,0.930553,1.28132,0.0854163,0.0773694
693.309,0.995954,0.000733659,7,255,0,-691.331,0.898267,0.868117,1.1722,1.07012,0.927501,1.28105,0.0833929,0.0775859
690.208,0.983764,0.00076513,7,191,0,-688.622,0.898134,0.87261,1.17939,1.08107,0.93884,1.28964,0.0817242,0.0683683
693.214,0.884226,0.00077807,5,31,0,-686.641,0.896609,0.875691,1.16115,1.06151,0.946163,1.29831,0.0838708,0.0691588
690.363,0.962282,0.00064769,9,767,0,-687.63,0.809676,0.751188,1.0272,0.944555,0.795643,1.1564,0.108736,0.0689985
693.241,0.999997,0.000631125,6,63,0,-687.857,0.799605,0.74357,1.03516,0.939997,0.795373,1.1631,0.111605,0.0703401
692.385,0.992564,0.000662886,5,31,0,-690.199,0.792095,0.743635,1.03388,0.936816,0.80272,1.16841,0.110945,0.070375
693.283,0.97257,0.000685613,6,63,0,-691.524,0.811911,0.742172,1.04632,0.96237,0.810432,1.14529,0.109312,0.0722863
694.384,0.991044,0.000681393,9,639,0,-689.969,0.923378,0.922294,1.20945,1.08995,0.991896,1.33652,0.074261,0.0722147
694.291,0.988966,0.000702059,9,767,0,-688.929,0.884499,0.854643,1.12985,1.03832,0.906852,1.25504,0.0884392,0.0784141
691.998,0.986501,0.000720082,8,383,0,-676.901,0.811591,0.742985,1.04669,0.962618,0.794446,1.16203,0.108282,0.0686183
692.012,0.999937,0.000734727,6,63,0,-688.935,0.809605,0.758292,1.0547,0.961792,0.787707,1.16528,0.107866,0.0699124
693.997,0.979459,0.000769094,7,191,0,-688.603,0.819014,0.747673,1.06381,0.973737,0.83762,1.17126,0.106164,0.075269
693.624,0.998674,0.000773513,5,31,0,-693.091,0.817347,0.749165,1.06935,0.972474,0.838288,1.16893,0.106171,0.0752327
694.583,0.989979,0.000806918,6,127,0,-691.906,0.819854,0.75443,1.07105,0.968101,0.83486,1.17264,0.105315,0.0766108
692.56,0.900559,0.000827467,7,255,0,-691.679,0.825525,0.78995,1.0614,0.982272,0.836892,1.19977,0.103978,0.0787633
693.939,0.998019,0.000715839,8,511,0,-689.944,0.870823,0.847582,1.11979,1.03464,0.901993,1.26172,0.0887104,0.074785
692.765,0.985962,0.000745271,8,447,0,-691.585,0.914072,0.884152,1.17599,1.09085,0.973313,1.32143,0.079296,0.0735942
692.715,0.73441,0.000758119,6,63,0,-685.349,0.932205,0.895493,1.1939,1.06206,0.960723,1.30525,0.0779503,0.0755481
692.331,0.999963,0.000481337,7,255,0,-685.784,0.912342,0.906956,1.18315,1.08005,0.955137,1.29502,0.0795188,0.0794784
693.09,0.992656,0.000503288,6,127,0,-690.244,0.914525,0.88088,1.19181,1.07078,0.963117,1.30967,0.0793951,0.0806255
692.247,0.991768,0.000518861,6,63,0,-691.25,0.922491,0.888005,1.18949,1.06045,0.967125,1.30926,0.0797866,0.0802761
692.669,0.993159,0.000533812,7,127,0,-690.448,0.910926,0.887735,1.18269,1.07005,0.982657,1.3091,0.0799468,0.0796457
694.238,0.995972,0.000550378,8,511,0,-689.671,0.905633,0.879127,1.1647,1.06348,0.926209,1.29496,0.0816235,0.0768798
693.092,0.999864,0.000570154,7,255,0,-689.774,0.895106,0.837787,1.15033,1.05072,0.938714,1.26064,0.0873067,0.0765461
692.588,0.99915,0.000594584,6,127,0,-687.963,0.874121,0.854868,1.13085,1.04537,0.918499,1.28721,0.0868463,0.073998
692.588,0.0255169,0.15845,1,3,1,-690.588,0.874121,0.854868,1.13085,1.04537,0.918499,1.28721,0.0868463,0.073998
692.588,2.90651e-195,0.269901,1,1,0,-687.907,0.874121,0.854868,1.13085,1.04537,0.918499,1.28721,0.0868463,0.073998
691.135,0.999196,0.0151627,6,95,0,-685.653,0.886989,0.822041,1.14028,1.0202,0.904117,1.23582,0.0904512,0.0794103
692.41,0.998128,0.00826876,6,127,0,-685.633,0.880505,0.81161,1.13623,1.02098,0.908369,1.24323,0.0903108,0.0784948
695.007,0.999949,0.00564307,8,383,0,-688.959,0.903822,0.863381,1.16992,1.05484,0.951292,1.28652,0.0837419,0.0714699
695.038,0.999972,0.00442837,7,127,0,-693.988,0.902497,0.876248,1.16217,1.0535,0.940735,1.3004,0.0835101,0.0718506
693.294,0.999925,0.00379,7,127,0,-691.063,0.907675,0.861908,1.17972,1.04977,0.94044,1.29712,0.0814795,0.0721617
693.914,0.999595,0.00343883,8,383,0,-689.788,0.882145,0.866204,1.14761,1.05306,0.944982,1.27862,0.0863181,0.0759523
692.117,0.999903,0.00324722,10,1023,0,-687.933,0.836048,0.774663,1.06108,0.98704,0.818964,1.18556,0.104283,0.0713421
694.059,0.999997,0.00316045,8,255,0,-690.897,0.813556,0.78048,1.07091,0.961282,0.843485,1.184,0.103974,0.0731311
693.544,0.999987,0.00314319,8,255,0,-690.577,0.82189,0.749764,1.05217,0.9757,0.813133,1.17643,0.106597,0.0718888
689.987,0.999687,0.00317535,7,127,0,-688.667,0.827276,0.733165,1.04955,0.974159,0.81473,1.17081,0.105719,0.0711826
690.98,0.999997,0.00324229,7,127,0,-688.403,0.823432,0.735038,1.05164,0.975422,0.807603,1.17086,0.10682,0.0711903
687.89,0.999563,0.00334269,8,255,0,-683.678,0.796682,0.779069,1.03386,0.926528,0.803143,1.15194,0.111483,0.0719682
690.272,1,0.00346377,8,255,0,-684.16,0.789383,0.686769,1.0158,0.921215,0.763193,1.13259,0.116258,0.0708841
691.291,0.999641,0.00361135,7,127,0,-686.478,0.790873,0.701857,0.999797,0.923045,0.76907,1.10903,0.117317,0.0708345
693.435,0.999991,0.00377424,7,255,0,-688.816,0.780044,0.728443,1.01049,0.919276,0.777239,1.12387,0.11603,0.0697931
692.723,0.996806,0.00395874,8,511,0,-686.669,0.763801,0.68531,1.0008,0.914755,0.752105,1.11526,0.11818,0.072011
690.823,0.999897,0.00411964,9,639,0,-687.852,0.726915,0.642785,0.950192,0.886033,0.70064,1.07005,0.128033,0.0784058
688.893,0.998595,0.00433288,7,255,0,-685.572,0.722331,0.65245,0.972489,0.88327,0.704941,1.05595,0.129772,0.0796993
688.04,0.999975,0.00454279,9,639,0,-683.477,0.687009,0.596049,0.933116,0.843712,0.669588,1.01203,0.138208,0.0769099
687.924,0.999884,0.00478442,6,63,0,-687.44,0.687201,0.595519,0.932743,0.843403,0.669069,1.01145,0.136861,0.0767762
689.592,0.998386,0.00503798,7,127,0,-684.851,0.700673,0.600294,0.903019,0.84147,0.665514,1.02469,0.136248,0.0774955
691.488,1,0.00528123,7,255,0,-688.33,0.699693,0.624151,0.921681,0.837213,0.66038,1.02366,0.136305,0.0789793
691.413,0.999928,0.00556074,8,383,0,-688.895,0.692251,0.593072,0.901177,0.831853,0.659314,1.00328,0.140044,0.0767321
690.723,0.998878,0.00585123,7,127,0,-689.744,0.68239,0.620269,0.904933,0.824402,0.64155,1.01075,0.139927,0.0773369
690.883,0.999901,0.00613527,7,127,0,-689.321,0.695562,0.604309,0.893088,0.824152,0.646572,1.00195,0.140252,0.0784366
687.517,0.999397,0.00644789,7,255,0,-684.019,0.695073,0.611245,0.895687,0.80811,0.635106,0.993487,0.142589,0.0808613
688.327,0.999964,0.00676229,7,191,0,-685.703,0.668993,0.579064,0.893226,0.822315,0.637964,0.990991,0.143505,0.0818909
689.47,0.999887,0.00709811,7,127,0,-686.26,0.692448,0.602096,0.882306,0.81104,0.631022,0.991339,0.143123,0.0778704
689.599,0.998369,0.00744333,7,255,0,-686.454,0.672173,0.595452,0.909544,0.834195,0.639882,1.00598,0.140791,0.0757363
691.157,0.999845,0.00776714,7,191,0,-687.596,0.701913,0.622207,0.903091,0.827425,0.671745,1.01503,0.138075,0.0747022
689.499,0.998787,0.00813137,7,127,0,-687.196,0.700646,0.597477,0.924717,0.823484,0.674425,1.01888,0.137695,0.0743247
688.609,0.999588,0.00848183,6,63,0,-686.028,0.687397,0.598876,0.926643,0.829135,0.682382,1.0201,0.137835,0.0737682
687.455,0.999254,0.00885946,7,127,0,-681.478,0.70987,0.661173,0.916531,0.860325,0.656116,1.03579,0.134214,0.0749448
691.863,0.999933,0.00923843,8,319,0,-685.132,0.753456,0.701543,0.969721,0.906211,0.724553,1.09373,0.122914,0.0731765
691.882,0.992022,0.00964323,6,63,0,-687.612,0.744162,0.686077,0.996732,0.894942,0.748421,1.08679,0.121584,0.0740028
692.254,0.993926,0.0098539,6,63,0,-685.823,0.756152,0.669056,0.99326,0.891475,0.722792,1.093,0.123455,0.0737818
692.7,0.999944,0.0101138,8,383,0,-690.336,0.775367,0.698063,1.01921,0.920671,0.755482,1.12996,0.11676,0.0717203
693.153,0.998724,0.0105353,6,63,0,-691.166,0.774429,0.717371,0.989746,0.920048,0.767481,1.10733,0.118769,0.0730664
693.605,0.999774,0.0109321,8,319,0,-690.383,0.806668,0.757177,1.05562,0.945719,0.799919,1.17263,0.108145,0.0717646
693.95,0.998576,0.0113659,6,63,0,-691.892,0.802089,0.741215,1.02799,0.9549,0.81765,1.14962,0.109939,0.0725676
694.563,0.998425,0.011773,6,127,0,-688.078,0.785707,0.744199,1.03789,0.945966,0.800698,1.15302,0.11135,0.0723733
693.302,0.985131,0.012182,6,127,0,-689.165,0.812959,0.734292,1.04171,0.945566,0.803918,1.15417,0.111418,0.0748405
693.376,0.999745,0.0121923,8,511,0,-685.988,0.811418,0.784341,1.06484,0.973428,0.82691,1.18808,0.104941,0.0787951
689.246,0.981631,0.0126431,7,191,0,-685.248,0.77986,0.750748,1.02556,0.935406,0.786642,1.16453,0.11022,0.0731533
693.725,0.999348,0.0125394,6,63,0,-687.07,0.798147,0.748421,1.03316,0.946842,0.783573,1.13884,0.112597,0.0728958
694.462,0.998719,0.0129775,6,127,0,-687.585,0.810691,0.74378,1.05075,0.956229,0.822233,1.1809,0.106793,0.0729696
694.17,0.996513,0.0134022,8,255,0,-690.752,0.851706,0.788191,1.10273,1.00972,0.882658,1.22185,0.0968827,0.0774251
694.721,0.998026,0.0137603,8,383,0,-691.654,0.921889,0.90954,1.18684,1.09135,0.964572,1.31697,0.0768549,0.0715293
695.73,0.741028,0.0566848,6,87,0,-690.881,0.840992,0.79116,1.09746,0.98999,0.858962,1.21425,0.0994822,0.0731146
695.73,0,0.354621,0,1,1,-693.723,0.840992,0.79116,1.09746,0.98999,0.858962,1.21425,0.0994822,0.0731146
694.269,0.990951,0.0292939,6,127,0,-690.662,0.802748,0.736988,1.03779,0.932065,0.796095,1.14264,0.111903,0.0761436
693.276,0.970388,0.0194763,8,319,0,-691.18,0.888591,0.84182,1.14464,1.02176,0.904476,1.26147,0.0903113,0.0725876
693.632,0.999831,0.0140693,6,95,0,-689.845,0.880423,0.852619,1.14758,1.02403,0.91622,1.25162,0.0879346,0.0723397
691.333,0.993985,0.0120095,7,191,0,-685.663,0.854505,0.7938,1.0968,1.02696,0.868206,1.22708,0.0968474,0.0772747
691.504,0.999763,0.0106584,6,63,0,-688.062,0.861483,0.828855,1.11791,0.990529,0.89605,1.22968,0.0936313,0.0772749
694.772,0.999539,0.0100023,8,351,0,-685.599,0.930759,0.902745,1.21149,1.09508,0.979468,1.32939,0.0736223,0.0742098
693.592,0.999249,0.00963629,7,191,0,-691.381,0.961578,0.935552,1.25557,1.12927,1.02463,1.37245,0.0655831,0.0740545
693.233,0.999307,0.0094557,8,447,0,-686.818,0.860543,0.808746,1.12903,1.01988,0.886035,1.24701,0.0927156,0.0794092
691.774,0.989258,0.00941125,6,63,0,-686.815,0.876958,0.834732,1.10908,1.02488,0.871572,1.25196,0.0922531,0.0791468
691.138,0.998043,0.00916857,5,31,0,-689.675,0.877833,0.835301,1.1078,1.02568,0.869224,1.24983,0.0929183,0.0791294
691.709,0.999958,0.00925516,6,95,0,-689.131,0.875436,0.8254,1.10508,1.01756,0.87356,1.25267,0.0923853,0.0794485
688.905,0.995098,0.0094534,8,447,0,-681.179,0.832217,0.792672,1.107,0.994966,0.88815,1.1923,0.0990032,0.0801253
688.012,0.997369,0.00955136,6,127,0,-683.858,0.86182,0.806946,1.08503,1.00058,0.84808,1.25045,0.096112,0.0777554
692.874,0.996856,0.00975109,5,31,0,-685.121,0.85754,0.80874,1.11653,0.99583,0.887972,1.21926,0.0970637,0.0774286
694.592,0.997941,0.00996348,8,447,0,-689.4,0.902947,0.864343,1.16199,1.07112,0.948607,1.29568,0.0813577,0.0768753
694.858,0.999312,0.0102328,6,63,0,-692.903,0.907758,0.880954,1.16147,1.04931,0.938078,1.28374,0.0827588,0.0759795
695.724,0.99963,0.0105665,7,191,0,-692.838,0.9064,0.881628,1.17357,1.05434,0.942726,1.29548,0.0819451,0.0731859
694.732,0.993136,0.0109304,6,95,0,-689.877,0.915551,0.871397,1.16974,1.07261,0.961677,1.28826,0.0806858,0.0740773
694.941,0.998431,0.0110953,7,159,0,-690.723,0.881256,0.85649,1.12275,1.03447,0.903038,1.25713,0.0895584,0.0734034
693.355,0.97602,0.0114469,7,191,0,-689.924,0.879582,0.828459,1.14592,1.05366,0.922086,1.26215,0.0882879,0.07513
694.718,0.992484,0.0110601,7,191,0,-690.475,0.88802,0.853012,1.14369,1.05364,0.909861,1.2637,0.0865288,0.0725099
693.826,0.995248,0.0112223,5,31,0,-690.352,0.882512,0.849672,1.14561,1.03795,0.939049,1.28309,0.0853678,0.0718098
693.084,0.999626,0.0114796,7,255,0,-691.07,0.947367,0.925388,1.21283,1.10098,0.981281,1.35968,0.0705775,0.074911
691.219,0.988568,0.0118896,6,127,0,-689.189,0.940947,0.926474,1.21415,1.10404,1.02084,1.32982,0.0738963,0.0755707
693.446,0.998225,0.01193,8,351,0,-688.399,0.850279,0.795026,1.08701,0.990864,0.855972,1.21257,0.0969451,0.0735975
693.367,0.998863,0.0123008,8,383,0,-688.462,0.789336,0.726961,1.00947,0.929645,0.800843,1.13412,0.11483,0.0728332
694.028,0.988392,0.0127006,4,31,0,-690.201,0.782804,0.716495,1.02703,0.933073,0.783548,1.12895,0.113368,0.0724689
693.016,0.999286,0.0127335,7,255,0,-689.847,0.791085,0.720951,1.02297,0.949248,0.787701,1.1516,0.111335,0.0716852
693.409,0.999986,0.013153,8,255,0,-691.11,0.763311,0.701464,0.990075,0.922771,0.746346,1.11369,0.118871,0.0740525
689.236,0.990007,0.0136048,5,31,0,-687.641,0.769232,0.696118,1.00149,0.931723,0.746558,1.08888,0.12002,0.073988
694.346,0.996057,0.0136911,5,31,0,-685.98,0.755746,0.697294,0.985525,0.908015,0.750367,1.10878,0.120351,0.0741923
691.898,0.991152,0.0140004,7,191,0,-686.238,0.789759,0.714933,1.01913,0.931299,0.753903,1.14191,0.114802,0.0781253
